Word Valence_Mean
sunlight 7.76
sunrise 7.86
sunset 7.68
super 3
superb 5
superior 2
support 2
supported 2
supporter 1
supporters 1
supporting 1
supportive 2
supports 2
surgery 2.86
surprised 7.47
survived 2
surviving 2
survivor 2
suspect -1
suspected -1
suspecting -1
suspects -1
suspend -1
suspended -1
suspicious 3.76
swear -2
swearing -2
swears -2
sweet 2
sweetheart 8.42
swift 6.46
swiftly 2
swimmer 6.54
swindle -3
swindles -3
swindling -3
sympathetic 2
sympathy 2
syphilis 1.68
table 5.22
talent 7.56
tamper 4.10
tank 5.16
tard -2
taste 6.66
taxi 5.00
tears -2
teacher 5.68
tease 4.84
tender 6.93
tense 3.56
tension -1
terrible 1.93
terribly -3
terrific 8.16
terrified 1.72
terror -3
terrorize -3
terrorized -3
terrorizes -3
terrorist 1.69
thank 2
thankful 6.89
thanks 2
theory 5.30
thermometer 4.73
thief 2.13
thorn 3.64
thought 6.39
thoughtful 7.65
thoughtless -2
threat -2
threaten -2
threatened -2
threatening -2
threatens -2
threats -2
thrill 8.05
thrilled 5
thwart -2
thwarted -2
thwarting -2
thwarts -2
tidy 6.30
timid 3.86
timorous -2
time 5.31
tired -2
tits -2
tobacco 3.28
tolerant 2
tomb 2.94
tool 5.19
toothache 1.98
top 2
tops 2
torn -2
tornado 2.55
torture 1.56
totalitarian -2
totalitarianism -2
tout -2
touted -2
touting -2
touts -2
tower 5.46
toxic 2.10
toy 7.00
tragedy 1.78
tragic -2
traitor 2.22
tranquil 2
trap -1
trapped -2
trash 2.67
trauma 2.10
traumatic -3
travel 7.10
travesty -2
treason -3
treasonous -3
treasure 8.27
treat 7.36
tree 6.32
trembling -2
tremulous -2
tricked -2
trickery -2
triumph 7.80
triumphant 8.82
trouble 3.03
troubled 2.17
troubles -2
truck 5.47
true 2
trumpet 5.75
trunk 5.09
trust 6.68
trusted 2
truth 7.80
tumor 2.36
tune 6.93
twat -5
twilight 7.23
ugly 2.43
ulcer 1.78
umbrella 5.16
unacceptable -2
unappreciated -2
unapproved -2
unaware -2
unbelievable -1
unbelieving -1
unbiased 2
uncertain -1
unclear -1
uncomfortable -2
unconcerned -2
unconfirmed -1
unconvinced -1
uncredited -1
undecided -1
underestimate -1
underestimated -1
underestimates -1
underestimating -1
undermine -2
undermined -2
undermines -2
undermining -2
undeserving -2
undesirable -2
uneasy -2
unemployment -2
unequal -1
unequaled 2
unethical -2
unfair -2
unfocused -2
unfulfilled -2
unhappy 1.57
unhealthy -2
unified 1
unimpressed -2
unintelligent -2
united 1
unjust -2
unlovable -2
unloved -2
unmatched 1
unmotivated -2
unprofessional -2
unresearched -2
unsatisfied -2
unsecured -2
unsettled -1
unsophisticated -2
unstable -2
unstoppable 2
unsupported -2
unsure -1
untarnished 2
untroubled 7.62
unwanted -2
unworthy -2
upset 2.00
upsets -2
upsetting -2
uptight -2
urgent -1
urine 3.25
useful 7.14
usefulness 2
useless 2.13
uselessness -2
utensil 5.14
vacation 8.16
vagina 6.14
vague -2
validate 1
validated 1
validates 1
validating 1
valentine 8.11
vampire 4.26
vandal 2.71
vanity 4.30
vehicle 6.27
venom 2.68
verdict -1
verdicts -1
vest 5.25
vested 1
vexation -2
vexing -2
vibrant 3
vicious -2
victim 2.18
victimize -3
victimized -3
victimizes -3
victimizing -3
victims -3
victory 8.32
vigilant 3
vigorous 6.79
vile -3
village 5.92
vindicate 2
vindicated 2
vindicates 2
vindicating 2
violate -2
violated -2
violates -2
violating -2
violence -3
violent 2.29
violin 4.88
virgin 6.29
virtue 6.22
virulent -2
vision 6.62
visionary 3
visioning 1
visions 1
vitality 3
vitamin 1
vitriolic -3
vivacious 3
vociferous -1
volcano 4.84
vomit 2.06
vulnerability -2
vulnerable -2
voyage 6.25
wagon 5.37
walkout -2
walkouts -2
wanker -3
want 1
war 2.08
warfare -2
warm 1
warmth 7.41
warn -2
warned -2
warning -3
warnings -3
